Ngày;MKH;Tên Tắt;DD chính;Lộ điểm đo;SL BT;SL CD;SL TD;Tổng SL;Tiền BT;Tiền CD;Tiền TD;Tiền trước thuế;Tiền sau thuế;Phạt Q Trc Thuế;Phạt Q sau thuế;Ngày thanh toán
30/09/2024;KCNTH-006;TH-Giza;2410131376;TH486 E11.9;4601;1519;1114;7234;8323209;5033966;1318976;14676151;15850243,08;0;0;05/10/2024
30/09/2024;KCNTH-007;TH-Sinher;2410131383;TH486 E11.9;13592;4020;2032;19644;24587928;13322280;2405888;40316096;40316096;0;0;05/10/2024
30/09/2024;KCNTH-008;TH-Hum&C;2410320616;TH486 E11.9;216;74;0;290;390744;245236;0;635980;686858,4;0;0;05/10/2024
30/09/2024;KCNTH-009A;TH-Hợp Nhất;2410131547;TH486 E11.9;903;315;171;1389;1633527;1043910;202464;2879901;3110293,08;0;0;05/10/2024
30/09/2024;KCNTH-010A;TH-SauSum;2410320615;TH486 E11.9;2478;927;709;4114;4482702;3072078;839456;8394236;9065774,88;0;0;05/10/2024
30/09/2024;KCNYM-001;YM-VNC;2310396107;YM 472E28.6;56010;7890;12780;76680;93480690;24403770;13853520;131737980;142277018,4;0;0;05/10/2024
30/09/2024;KCNYM-002;YM-Thịnh Vượng;2310396110;YM 472E28.6;25022;8805;3752;37579;45264798;29179770;4442368;78886936;78886936;0;0;05/10/2024
30/09/2024;KCNYM-002;YM-Thịnh Vượng;2310396111;YM 472E28.6;8125;3030;1442;12597;14698125;10041420;1707328;26446873;26446873;0;0;14/10/2024
30/09/2024;KCNYM-003;YM-Jili;2310396105;YM 472E28.6;32112;13323;5928;51363;58090608;44152422;7018752;109261782;118002724,6;0;0;15/10/2024
30/09/2024;KCNYM-004;YM-MQ-IDS;2310396106;YM 472E28.6;35332;12960;10016;58308;63915588;42949440;11858944;118723972;128221889,8;0;0;15/10/2024
30/09/2024;KCNTH-003;TH-Hợp Lực;2310396109;TH476 E11.9;9413;3892;2632;15937;17028117;12898088;3116288;33042493;35685892,44;0;0;05/10/2024
09/10/2024;KCNYM-005;YM-TITAN;2410121454;YM 472E28.6;0;0;0;0;0;0;0;0;0;0;0;15/10/2024
10/10/2024;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-58545;-20909;-15891;-95345;-97711605;-64671537;-17225844;-179608986;-193977704,9;0;0;15/10/2024
10/10/2024;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;15/10/2024
