Tháng,2023,2024
Tháng 1,0,129482
Tháng 2,192,98374
Tháng 3,36408,307732
Tháng 4,36777,428323
Tháng 5,56631,440981
Tháng 6,96312,552781
Tháng 7,155419,605053
Tháng 8,167292,713107
Tháng 9,157782,688882
Tháng 10,153828,821467
Tháng 11,134897,757156
Tháng 12,129378,790607
